"İsim","Son"," Yüksek"," Düşük","Fark","Fark %","Hac.","Zaman"
"Torunlar GYO","77,15","77,40","75,70","0,45","0,59%","945,96K","22/10"
"TSKB GYO","7,340","7,630","7,240","0,140","1,94%","9,07M","22/10"
"TSKB","12,170","12,370","12,120","-0,040","-0,33%","22,04M","22/10"
"Trabzonspor Sportif","1,320","1,320","1,190","0,120","10,00%","1,41B","22/10"
"Türk Telekomunikasyon","50,75","51,20","49,72","1,05","2,11%","19,7M","22/10"
"Türk Traktör","557,00","558,00","550,00","6,50","1,18%","135,48K","22/10"
"Tukaş Gıda","2,610","2,660","2,610","-0,010","-0,38%","152,62M","22/10"
"Tüpraş","181,70","183,20","177,30","5,60","3,18%","19,08M","22/10"
"Ülker Gıda","104,00","106,70","102,80","1,00","0,97%","5,69M","22/10"
"Uşak Seramik San. A.Ş.","3,400","3,570","3,400","-0,090","-2,58%","66,43M","22/10"
"Zedur Enerji","8,030","8,190","7,970","0,000","0,00%","1,5M","22/10"
"Vakıfbank","23,400","23,580","23,220","0,060","0,26%","40,44M","22/10"
"Vakıf Leasing","1,820","1,860","1,810","-0,010","-0,55%","67,54M","22/10"
"Vakko","63,200","64,000","62,550","0,100","0,16%","679K","22/10"
"Vanet","40,600","41,020","39,580","0,500","1,25%","348,08K","22/10"
"Vestel Beyaz","8,410","8,640","8,390","-0,090","-1,06%","14,63M","22/10"
"Vestel Elektronik","31,980","32,820","31,880","-0,480","-1,48%","6,88M","22/10"
"Vakıf GYO","2,350","2,370","2,310","0,030","1,29%","31,33M","22/10"
"Viking Kağıt ve Selülöz","32,000","32,200","30,240","0,900","2,89%","979,48K","22/10"
"Yaprak Süt","264,750","270,500","264,000","-2,250","-0,84%","138,44K","22/10"
"Yataş","35,500","36,480","33,340","1,780","5,28%","2,26M","22/10"
"AG Anadolu Grup","25,60","25,84","25,14","0,58","2,32%","6,47M","22/10"
"Yeşil GYO","1,750","1,760","1,690","0,010","0,57%","4,34M","22/10"
"Yapı Kredi","30,240","30,560","29,660","0,500","1,68%","145,46M","22/10"
"Koray GYO","5,070","5,200","4,880","-0,010","-0,20%","16,16M","22/10"
"Yünsa Yünlü San. Ve Tic. A.Ş.","7,250","7,380","7,220","-0,040","-0,55%","8,12M","22/10"
"Zorlu Enerji","3,270","3,350","3,220","0,030","0,93%","83,76M","22/10"
"Bridgestone Sabancı Lastik Sanayi","91,45","93,50","87,20","2,55","2,87%","1,05M","22/10"
"Marka Yatırım","44,500","44,540","43,780","-0,060","-0,13%","597,86K","22/10"
"Atlantis Holding","67,000","69,950","65,500","1,500","2,29%","26,98K","22/10"
"Balatacılar","75,500","76,950","71,550","5,400","7,70%","89,22K","22/10"
"Beyaz Filo Oto Kiralama A.Ş.","28,760","30,140","28,280","0,000","0,00%","2,26M","22/10"
"Tera Finansal Yatirimlar Holding AS","404,000","408,750","376,000","31,500","8,46%","714,86K","22/10"
"Denge Yatırım","2,740","2,760","2,700","0,040","1,48%","23,32M","22/10"
"Hub Girişim Sermayesi","3,390","3,500","3,120","0,170","5,28%","14,29M","22/10"
"Skyalp Finansal Teknolojiler ve Danismanlik AS","145,200","145,200","134,300","13,200","10,00%","268,06K","22/10"
"Mmc San. Ve Ticari Yat. A.Ş.","68,000","75,000","66,650","-3,500","-4,90%","419,48K","22/10"
"Niğbaş Beton San. Ve Tic. A.Ş.","21,200","21,700","19,970","0,180","0,86%","1,32M","22/10"
